ROL;MATRICULA;SOCIEDAD;CATEGORIA;REGIMEN;FECHA;MOTIVO_DESCARTE
ALTA;0408MGW;CGAC;Furgoneta/Furgón;-;2023-05-17;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;0477MGW;CGAC;Furgoneta/Furgón;-;2023-05-09;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;0602KHK;ISG;Turismo;-;2024-06-21;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en ISG
ALTA;0649MWZ;EMIVASA;Turismo;-;2024-11-25;Competencia: tenia 6 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;0650MXH;MEDICION AVANZADA CONTAD.;Furgoneta/Furgón;-;2024-12-20;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en MEDICION AVANZADA CONTAD.
ALTA;0677MWF;GAMASER;Furgoneta/Furgón;-;2024-11-12;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en GAMASER
ALTA;0679MWF;ISG;Furgoneta/Furgón;-;2024-11-12;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en ISG
ALTA;0682MWF;CANALIZ. CIVILES S.A.;Furgoneta/Furgón;-;2024-10-18;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CANALIZ. CIVILES S.A.
ALTA;0686MWT;MEDICION AVANZADA CONTAD.;Furgoneta/Furgón;-;2024-11-29;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en MEDICION AVANZADA CONTAD.
ALTA;0692MWT;MEDICION AVANZADA CONTAD.;Furgoneta/Furgón;-;2024-11-28;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en MEDICION AVANZADA CONTAD.
ALTA;0693MWT;MEDICION AVANZADA CONTAD.;Furgoneta/Furgón;-;2024-11-28;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en MEDICION AVANZADA CONTAD.
ALTA;0695MWT;MEDICION AVANZADA CONTAD.;Furgoneta/Furgón;-;2024-11-28;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en MEDICION AVANZADA CONTAD.
ALTA;0696MWT;MEDICION AVANZADA CONTAD.;Furgoneta/Furgón;-;2024-11-28;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en MEDICION AVANZADA CONTAD.
ALTA;0699MWT;MEDICION AVANZADA CONTAD.;Furgoneta/Furgón;-;2024-11-28;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en MEDICION AVANZADA CONTAD.
ALTA;0700MWT;MEDICION AVANZADA CONTAD.;Furgoneta/Furgón;-;2024-11-28;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en MEDICION AVANZADA CONTAD.
ALTA;0701MWT;MEDICION AVANZADA CONTAD.;Furgoneta/Furgón;-;2024-11-28;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en MEDICION AVANZADA CONTAD.
ALTA;0773MXH;MEDICION AVANZADA CONTAD.;Furgoneta/Furgón;-;2024-12-19;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en MEDICION AVANZADA CONTAD.
ALTA;0777MJM;CGAC;Furgoneta/Furgón;-;2023-07-19;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;0778MJM;CGAC;Furgoneta/Furgón;-;2023-07-19;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;0800MJM;CGAC;Furgoneta/Furgón;-;2023-07-19;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;0823MXH;MEDICION AVANZADA CONTAD.;Furgoneta/Furgón;-;2024-12-19;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en MEDICION AVANZADA CONTAD.
ALTA;1165MSX;G.O.MEDIOAMBIENTE S.L.;Furgoneta/Furgón;-;2024-06-13;R5: hay 1 bajas de su sociedad y categoria pero ninguna en la ventana 2024-03-13..2024-12-13. Mas cercanas: 8767LLW (2025-02-11, +243d)
ALTA;1177MSX;G.O.MEDIOAMBIENTE S.L.;Furgoneta/Furgón;-;2024-06-13;R5: hay 1 bajas de su sociedad y categoria pero ninguna en la ventana 2024-03-13..2024-12-13. Mas cercanas: 8767LLW (2025-02-11, +243d)
ALTA;1178MSX;G.O.MEDIOAMBIENTE S.L.;Furgoneta/Furgón;-;2024-06-18;R5: hay 1 bajas de su sociedad y categoria pero ninguna en la ventana 2024-03-18..2024-12-18. Mas cercanas: 8767LLW (2025-02-11, +238d)
ALTA;1255MJM;CGAC;Furgoneta/Furgón;-;2023-07-21;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;1256MJM;CGAC;Furgoneta/Furgón;-;2023-07-21;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;1258MJM;CGAC;Furgoneta/Furgón;-;2023-07-21;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;1261MJM;CGAC;Furgoneta/Furgón;-;2023-07-21;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;1406KDP;MEDICION AVANZADA CONTAD.;Turismo;-;2023-02-16;R5: hay 2 bajas de su sociedad y categoria pero ninguna en la ventana 2022-11-16..2023-08-16. Mas cercanas: 0818LKK (2025-01-10, +694d), 8030LKY (2025-01-16, +700d)
ALTA;1428KDP;EMP.MUN.SERVEIS PUBLICS;Turismo;-;2023-01-01;"Adquisicion 2023-01-01 anterior al 2023-01-25 (fuera del ambito CAE); fecha tomada del Excel, confirmar con factura/matriculacion"
ALTA;1634LRB;EMIVASA;Furgoneta/Furgón;-;2025-04-10;R4: EMIVASA tiene 10 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;1954MXT;ARAGONESA SER.PUBLICOS SL;Furgoneta/Furgón;-;2025-01-08;R4: ARAGONESA SER.PUBLICOS SL tiene 7 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;1970MXT;ARAGONESA SER.PUBLICOS SL;Furgoneta/Furgón;-;2025-01-08;R4: ARAGONESA SER.PUBLICOS SL tiene 7 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;1976MXT;ARAGONESA SER.PUBLICOS SL;Furgoneta/Furgón;-;2025-01-08;R4: ARAGONESA SER.PUBLICOS SL tiene 7 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;2043MJP;CGAC;Furgoneta/Furgón;-;2023-07-25;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;2062MJP;CGAC;Furgoneta/Furgón;-;2023-07-25;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;2087MJP;CGAC;Furgoneta/Furgón;-;2023-03-03;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;2340MGR;CGAC;Furgoneta/Furgón;-;2023-04-26;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;2343MGR;CGAC;Furgoneta/Furgón;-;2023-04-27;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;2604MXV;COSTA BELLVER SA;Furgoneta/Furgón;-;2025-01-16;R1: la sociedad COSTA BELLVER SA no tiene ninguna baja elegible. Pedir listado de bajas de esa sociedad
ALTA;2717MXG;AVSA;Furgoneta/Furgón;-;2024-12-18;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en AVSA
ALTA;2732MWP;AVSA;Turismo;-;2024-11-21;Competencia: tenia 11 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en AVSA
ALTA;2788MXG;AVSA;Furgoneta/Furgón;-;2024-12-18;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en AVSA
ALTA;3020MRW;TRAKTA CONTROL Y TRATAM.;Furgoneta/Furgón;-;2024-05-30;R1: la sociedad TRAKTA CONTROL Y TRATAM. no tiene ninguna baja elegible. Pedir listado de bajas de esa sociedad
ALTA;3095MWZ;EMIVASA;Turismo;-;2024-11-28;Competencia: tenia 6 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;3140MHW;CGAC;Furgoneta/Furgón;-;2023-06-28;Competencia: tenia 4 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;3148MWZ;EMIVASA;Turismo;-;2024-12-12;Competencia: tenia 7 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;3155MWZ;EMIVASA;Turismo;-;2024-12-12;Competencia: tenia 7 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;3160MWZ;EMIVASA;Turismo;-;2024-12-12;Competencia: tenia 7 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;3163MWZ;EMIVASA;Turismo;-;2024-12-12;Competencia: tenia 7 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;3168MWZ;EMIVASA;Turismo;-;2024-12-12;Competencia: tenia 7 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;3173MWZ;EMIVASA;Turismo;-;2024-12-12;Competencia: tenia 7 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;3186MXJ;AYWA SER.AMBIENTALES SL;Furgoneta/Furgón;-;2024-12-17;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en AYWA SER.AMBIENTALES SL
ALTA;3192MHW;CGAC;Furgoneta/Furgón;-;2023-06-28;Competencia: tenia 4 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;3201MHW;CGAC;Furgoneta/Furgón;-;2023-06-28;Competencia: tenia 4 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;3214MXJ;AYWA SER.AMBIENTALES SL;Furgoneta/Furgón;-;2024-12-17;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en AYWA SER.AMBIENTALES SL
ALTA;3219MHW;CGAC;Furgoneta/Furgón;-;2023-06-28;Competencia: tenia 4 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;3256MXH;ISG;Furgoneta/Furgón;-;2024-12-20;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en ISG
ALTA;3489MWR;COSTA BELLVER SA;Turismo;-;2024-11-27;R1: la sociedad COSTA BELLVER SA no tiene ninguna baja elegible. Pedir listado de bajas de esa sociedad
ALTA;4000MWL;MEDICION AVANZADA CONTAD.;Furgoneta/Furgón;-;2024-11-18;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en MEDICION AVANZADA CONTAD.
ALTA;4004MWL;MEDICION AVANZADA CONTAD.;Furgoneta/Furgón;-;2024-11-18;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en MEDICION AVANZADA CONTAD.
ALTA;4082MXJ;VALORIA INVESTMENTS 2011;Furgoneta/Furgón;-;2024-12-23;R1: la sociedad VALORIA INVESTMENTS 2011 no tiene ninguna baja elegible. Pedir listado de bajas de esa sociedad
ALTA;4255MXL;EMIVASA;Furgoneta/Furgón;-;2024-12-27;R4: EMIVASA tiene 10 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4257MXL;EMIVASA;Furgoneta/Furgón;-;2024-12-27;R4: EMIVASA tiene 10 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4258MXL;EMIVASA;Furgoneta/Furgón;-;2024-12-27;R4: EMIVASA tiene 10 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4260MXL;EMIVASA;Furgoneta/Furgón;-;2024-12-27;R4: EMIVASA tiene 10 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4261MXL;EMIVASA;Furgoneta/Furgón;-;2024-12-27;R4: EMIVASA tiene 10 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4263MXL;EMIVASA;Furgoneta/Furgón;-;2024-12-27;R4: EMIVASA tiene 10 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4265MXL;EMIVASA;Furgoneta/Furgón;-;2024-12-27;R4: EMIVASA tiene 10 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4266MXL;EMIVASA;Furgoneta/Furgón;-;2024-12-27;R4: EMIVASA tiene 10 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4267MXL;EMIVASA;Furgoneta/Furgón;-;2024-12-27;R4: EMIVASA tiene 10 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4268MXL;EMIVASA;Furgoneta/Furgón;-;2024-12-27;R4: EMIVASA tiene 10 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4280MXL;EMIVASA;Furgoneta/Furgón;-;2024-12-27;R4: EMIVASA tiene 10 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4282MXL;EMIVASA;Furgoneta/Furgón;-;2024-12-27;R4: EMIVASA tiene 10 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4284MXL;EMIVASA;Furgoneta/Furgón;-;2024-12-27;R4: EMIVASA tiene 10 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4300MXL;EMIVASA;Furgoneta/Furgón;-;2024-12-27;R4: EMIVASA tiene 10 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4564MHF;CGAC;Furgoneta/Furgón;-;2023-05-31;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;4621MVB;EMP.AG.POTABL.MALGRAT SA;Furgoneta/Furgón;-;2024-09-05;R4: EMP.AG.POTABL.MALGRAT SA tiene 1 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4622MVB;EMP.AG.POTABL.MALGRAT SA;Furgoneta/Furgón;-;2024-09-16;R4: EMP.AG.POTABL.MALGRAT SA tiene 1 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;4623MVB;EMP.AG.POTABL.MALGRAT SA;Furgoneta/Furgón;-;2024-09-16;R4: EMP.AG.POTABL.MALGRAT SA tiene 1 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;5244MXL;UTE CHIVA(AV/EG);Furgoneta/Furgón;-;2024-12-27;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en UTE CHIVA(AV/EG)
ALTA;5357MDX;VALORIA INVESTMENTS 2011;Turismo;-;2023-02-15;R1: la sociedad VALORIA INVESTMENTS 2011 no tiene ninguna baja elegible. Pedir listado de bajas de esa sociedad
ALTA;5360MXF;AVSA;Furgoneta/Furgón;-;2024-12-18;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en AVSA
ALTA;5665MWP;CANALIZ. CIVILES S.A.;Turismo;-;2024-11-21;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en CANALIZ. CIVILES S.A.
ALTA;5995KSD;G.O.MEDIOAMBIENTE S.L.;Turismo;-;2018-12-01;"Adquisicion 2018-12-01 anterior al 2023-01-25 (fuera del ambito CAE); fecha tomada del Excel, confirmar con factura/matriculacion"
ALTA;6005MWV;CANALIZ. CIVILES S.A.;Turismo;-;2024-11-26;Competencia: tenia 2 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en CANALIZ. CIVILES S.A.
ALTA;6019MWV;CANALIZ. CIVILES S.A.;Turismo;-;2024-11-29;Competencia: tenia 2 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en CANALIZ. CIVILES S.A.
ALTA;6022MWV;CANALIZ. CIVILES S.A.;Turismo;-;2024-11-27;Competencia: tenia 2 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en CANALIZ. CIVILES S.A.
ALTA;6028MWV;AVSA;Turismo;-;2024-11-26;Competencia: tenia 11 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en AVSA
ALTA;6046MWV;AVSA;Turismo;-;2024-11-26;Competencia: tenia 11 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en AVSA
ALTA;6051KRV;G.O.MEDIOAMBIENTE S.L.;Turismo;-;2024-03-27;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en G.O.MEDIOAMBIENTE S.L.
ALTA;6055MWV;AVSA;Turismo;-;2024-11-26;Competencia: tenia 11 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en AVSA
ALTA;6087MWV;AVSA;Turismo;-;2024-11-26;Competencia: tenia 11 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en AVSA
ALTA;6102MWV;AVSA;Turismo;-;2024-11-26;Competencia: tenia 11 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en AVSA
ALTA;6109MWV;ISG;Turismo;-;2024-11-29;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en ISG
ALTA;6125MWV;ISG;Turismo;-;2024-11-25;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en ISG
ALTA;6248MWV;G.O.INVERSIONES S.L.;Turismo;-;2024-11-29;R5: hay 1 bajas de su sociedad y categoria pero ninguna en la ventana 2024-08-29..2025-05-29. Mas cercanas: 8891LBN (2024-07-05, -147d)
ALTA;6271MXF;AVSA;Furgoneta/Furgón;-;2024-12-18;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en AVSA
ALTA;6370MXF;AVSA;Furgoneta/Furgón;-;2024-12-18;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en AVSA
ALTA;6727LMH;G.O.MEDIOAMBIENTE S.L.;Motocicleta;-;2024-04-02;R4: G.O.MEDIOAMBIENTE S.L. tiene 12 bajas elegibles pero ninguna de categoria Motocicleta. La sustitucion entre categorias no se admite
ALTA;6847MWL;CGAC;Furgoneta/Furgón;-;2024-11-18;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
ALTA;6952MXF;G.O.INVERSIONES S.L.;Furgoneta/Furgón;-;2024-12-18;R4: G.O.INVERSIONES S.L. tiene 1 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;7151MXV;EMPRESA MIXTA CALPE;Furgoneta/Furgón;-;2024-12-17;R4: EMPRESA MIXTA CALPE tiene 1 bajas elegibles pero ninguna de categoria Furgoneta/Furgón. La sustitucion entre categorias no se admite
ALTA;7725MXF;GAMASER;Furgoneta/Furgón;-;2024-12-19;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en GAMASER
ALTA;7830MXF;GAMASER;Furgoneta/Furgón;-;2024-12-18;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en GAMASER
ALTA;8249MXG;ISG;Furgoneta/Furgón;-;2024-12-19;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en ISG
ALTA;8328MCZ;CGAC;Furgoneta/Furgón;-;2022-12-23;Adquisicion 2022-12-23 anterior al 2023-01-25 (fuera del ambito CAE)
ALTA;8387MXG;ISG;Furgoneta/Furgón;-;2024-12-19;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en ISG
ALTA;8392MXG;ISG;Furgoneta/Furgón;-;2024-12-19;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en ISG
ALTA;8436MXG;ISG;Furgoneta/Furgón;-;2024-12-19;Competencia: tenia 1 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en ISG
ALTA;8479MWP;EMIVASA;Turismo;-;2024-11-27;Competencia: tenia 6 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
