MATRICULA_ALTA;MARCA_MODELO_ALTA;SOCIEDAD;COD_SOCIEDAD;CATEGORIA;FECHA_ADQUISICION;ORIGEN_FECHA_ALTA;MATRICULA_BAJA;MARCA_MODELO_BAJA;COMBUSTIBLE_BAJA;REGIMEN_BAJA;PROVEEDOR_BAJA;FECHA_BAJA;ORIGEN_FECHA_BAJA;DESFASE_DIAS;DIAS_POSESION;ESTADO_POSESION;R1_MISMA_SOCIEDAD;R2_POSESION;R3_BEV_VS_COMBUSTION;R4_MISMA_CATEGORIA;R5_VENTANA_TEMPORAL;R6_AMBITO_CAE;NIVEL;DOC_ALTA;DOC_BAJA;ACCION_PENDIENTE
2720MWP;CITROEN Ë-C3 ELÉCTRICO MAX;AVSA;1001;Turismo;2024-11-21;DOCUMENTO;9428LKC;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2024-10-29;DOCUMENTO;-23;1461;ACREDITADA;OK (AVSA);OK 1461d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2024-10-29 en 2024-08-21..2025-05-21);OK (2024-11-21 > 2023-01-25);C_CONDICIONADO;SI;SI;"baja por siniestro total declarado el 29/10/2024: acreditar con baja definitiva DGT. NO pedir acta de devolucion: en un siniestro total no existe. La comunicacion de AYVENS que hay en carpeta es un .docx, formato no valido para TRA050: pedirla en PDF"
2722MXG;RENAULT KANGOO VAN E-TECH ELECTRIC;AVSA;1001;Furgoneta/Furgón;2024-12-18;DOCUMENTO;3598LKS;VOLKSWAGEN CADDY 4*4 2.0 TDI 122 CV;DIESEL;RENTING;AYVENS;2024-10-16;DOCUMENTO;-63;1420;ACREDITADA;OK (AVSA);OK 1420d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2024-10-16 en 2024-09-18..2025-06-18);OK (2024-12-18 > 2023-01-25);C_CONDICIONADO;SI;SI;baja por siniestro: acreditar con baja definitiva DGT, no con venta
2737MXG;RENAULT KANGOO VAN E-TECH ELECTRIC;AVSA;1001;Furgoneta/Furgón;2024-12-18;DOCUMENTO;5937LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2024-10-18;DOCUMENTO;-61;1313;ACREDITADA;OK (AVSA);OK 1313d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2024-10-18 en 2024-09-18..2025-06-18);OK (2024-12-18 > 2023-01-25);C_CONDICIONADO;SI;SI;baja por siniestro: acreditar con baja definitiva DGT, no con venta
3103MXJ;RENAULT KANGOO VAN E-TECH ELECTRIC;AYWA SER.AMBIENTALES SL;1064;Furgoneta/Furgón;2024-12-17;DOCUMENTO;6736LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2025-04-25;DOCUMENTO;129;1551;ACREDITADA;OK (AYWA SER.AMBIENTALES SL);OK 1551d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2025-04-25 en 2024-09-17..2025-06-17);OK (2024-12-17 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
3105MWZ;CITROEN Ë-C3 ELÉCTRICO MAX;EMIVASA;1200;Turismo;2024-11-28;DOCUMENTO;7970LKX;VOLVO V60 2.0 T6 AWD 340 CV;HÍBRIDO;RENTING;ARVAL SERV;2025-01-10;DOCUMENTO;43;1519;ACREDITADA;OK (EMIVASA);OK 1519d >= 730d;OK (ELECTRICO <- HÍBRIDO);OK (Turismo);OK (2025-01-10 en 2024-08-28..2025-05-28);OK (2024-11-28 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
3111MWZ;CITROEN Ë-C3 ELÉCTRICO MAX;EMIVASA;1200;Turismo;2024-11-29;DOCUMENTO;0383LKK;VOLVO XC40 1.5 T5 TRI 262 CV;HÍBRIDO;RENTING;ARVAL SERV;2025-04-29;DOCUMENTO;151;1658;ACREDITADA;OK (EMIVASA);OK 1658d >= 730d;OK (ELECTRICO <- HÍBRIDO);OK (Turismo);OK (2025-04-29 en 2024-08-29..2025-05-29);OK (2024-11-29 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
3116MXJ;RENAULT KANGOO VAN E-TECH ELECTRIC;G.O.MEDIOAMBIENTE S.L.;1004;Furgoneta/Furgón;2024-12-23;DOCUMENTO;8767LLW;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2025-02-11;EXCEL;50;1453;ACREDITADA;OK (G.O.MEDIOAMBIENTE S.L.);OK 1453d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2025-02-11 en 2024-09-23..2025-06-23);OK (2024-12-23 > 2023-01-25);B_INDICIO;SI;SI;"confirmar fecha de baja con el documento de entrega; aportar acta de devolucion firmada"
3121MWZ;CITROEN Ë-C3 ELÉCTRICO MAX;EMIVASA;1200;Turismo;2024-11-29;DOCUMENTO;3904LLT;SEAT ARONA 1.0 TSI 115 CV;GASOLINA;RENTING;AYVENS;2025-01-14;DOCUMENTO;46;1447;ACREDITADA;OK (EMIVASA);OK 1447d >= 730d;OK (ELECTRICO <- GASOLINA);OK (Turismo);OK (2025-01-14 en 2024-08-29..2025-05-29);OK (2024-11-29 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
3122MWZ;CITROEN Ë-C3 ELÉCTRICO MAX;EMIVASA;1200;Turismo;2024-11-29;DOCUMENTO;8066LKY;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2024-12-01;DOCUMENTO;2;1461;ACREDITADA;OK (EMIVASA);OK 1461d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2024-12-01 en 2024-08-29..2025-05-29);OK (2024-11-29 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
3133MWZ;CITROEN Ë-C3 ELÉCTRICO MAX;EMIVASA;1200;Turismo;2024-11-29;DOCUMENTO;4170LKY;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2024-12-01;DOCUMENTO;2;1461;ACREDITADA;OK (EMIVASA);OK 1461d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2024-12-01 en 2024-08-29..2025-05-29);OK (2024-11-29 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
3143MWZ;CITROEN Ë-C3 ELÉCTRICO MAX;EMIVASA;1200;Turismo;2024-11-29;DOCUMENTO;9417LKC;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2025-01-15;DOCUMENTO;47;1539;ACREDITADA;OK (EMIVASA);OK 1539d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-01-15 en 2024-08-29..2025-05-29);OK (2024-11-29 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
3147MXJ;RENAULT KANGOO VAN E-TECH ELECTRIC;AYWA SER.AMBIENTALES SL;1064;Furgoneta/Furgón;2024-12-17;DOCUMENTO;6741LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2025-02-08;DOCUMENTO;53;1461;ACREDITADA;OK (AYWA SER.AMBIENTALES SL);OK 1461d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2025-02-08 en 2024-09-17..2025-06-17);OK (2024-12-17 > 2023-01-25);B_INDICIO;SI;SI;"el acta de devolucion existe pero su OCR es ilegible (fecha '15 74 775', matricula '9 41 LLV'): releer el PDF original a mano y confirmar fecha y matricula antes de presentar. NO pedir el acta al cliente, la tiene"
3154MXJ;RENAULT KANGOO VAN E-TECH ELECTRIC;AYWA SER.AMBIENTALES SL;1064;Furgoneta/Furgón;2024-12-17;DOCUMENTO;7015LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2024-10-29;DOCUMENTO;-49;1366;ACREDITADA;OK (AYWA SER.AMBIENTALES SL);OK 1366d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2024-10-29 en 2024-09-17..2025-06-17);OK (2024-12-17 > 2023-01-25);C_CONDICIONADO;SI;SI;baja por siniestro: acreditar con baja definitiva DGT, no con venta
3157MXJ;RENAULT KANGOO VAN E-TECH ELECTRIC;EGEVASA;1400;Furgoneta/Furgón;2024-12-19;DOCUMENTO;6844LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2025-02-08;EXCEL;51;1461;ACREDITADA;OK (EGEVASA);OK 1461d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2025-02-08 en 2024-09-19..2025-06-19);OK (2024-12-19 > 2023-01-25);B_INDICIO;SI;NO;"confirmar fecha de baja con el documento de entrega; aportar acta de devolucion firmada; solicitar carpeta documental del vehiculo sustituido"
3178MXJ;RENAULT KANGOO VAN E-TECH ELECTRIC;AYWA SER.AMBIENTALES SL;1064;Furgoneta/Furgón;2024-12-17;DOCUMENTO;6987LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2024-12-27;DOCUMENTO;10;1421;ACREDITADA;OK (AYWA SER.AMBIENTALES SL);OK 1421d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2024-12-27 en 2024-09-17..2025-06-17);OK (2024-12-17 > 2023-01-25);C_CONDICIONADO;SI;SI;baja por siniestro: acreditar con baja definitiva DGT, no con venta
3191MXJ;RENAULT KANGOO VAN E-TECH ELECTRIC;EGEVASA;1400;Furgoneta/Furgón;2024-12-19;DOCUMENTO;8313LLZ;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2025-02-08;EXCEL;51;1461;ACREDITADA;OK (EGEVASA);OK 1461d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2025-02-08 en 2024-09-19..2025-06-19);OK (2024-12-19 > 2023-01-25);B_INDICIO;SI;NO;"confirmar fecha de baja con el documento de entrega; aportar acta de devolucion firmada; solicitar carpeta documental del vehiculo sustituido"
3246MXJ;RENAULT KANGOO VAN E-TECH ELECTRIC;AYWA SER.AMBIENTALES SL;1064;Furgoneta/Furgón;2024-12-23;EXCEL;7055LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2025-03-31;EXCEL;98;1481;ACREDITADA;OK (AYWA SER.AMBIENTALES SL);OK 1481d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2025-03-31 en 2024-09-23..2025-06-23);OK (2024-12-23 > 2023-01-25);B_INDICIO;NO;NO;"confirmar fecha de adquisicion con factura o permiso de circulacion; confirmar fecha de baja con el documento de entrega; aportar acta de devolucion firmada; solicitar carpeta documental del vehiculo nuevo; solicitar carpeta documental del vehiculo sustituido"
4073MXK;RENAULT KANGOO VAN E-TECH ELECTRIC;CGAC;1505;Furgoneta/Furgón;2024-12-20;DOCUMENTO;5932LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2025-03-27;DOCUMENTO;97;1515;ACREDITADA;OK (CGAC);OK 1515d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2025-03-27 en 2024-09-20..2025-06-20);OK (2024-12-20 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
4597LGC;MAN E-TGE;ISG;1053;Furgoneta/Furgón;2024-05-10;EXCEL;9305LMG;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2024-05-07;DOCUMENTO;-3;1156;ACREDITADA;OK (ISG);OK 1156d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2024-05-07 en 2024-02-10..2024-11-10);OK (2024-05-10 > 2023-01-25);C_CONDICIONADO;NO;SI;"baja por siniestro: acreditar con baja definitiva DGT, no con venta; confirmar fecha de adquisicion con factura o permiso de circulacion; solicitar carpeta documental del vehiculo nuevo"
5020MWL;NISSAN TOWNSTAR;CGAC;1505;Furgoneta/Furgón;2024-11-18;DOCUMENTO;3569LKS;VOLKSWAGEN CADDY 4*4 2.0 TDI 122 CV;DIESEL;RENTING;AYVENS;2024-11-07;DOCUMENTO;-11;1414;ACREDITADA;OK (CGAC);OK 1414d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2024-11-07 en 2024-08-18..2025-05-18);OK (2024-11-18 > 2023-01-25);C_CONDICIONADO;SI;SI;baja por siniestro: acreditar con baja definitiva DGT, no con venta
5230MXL;RENAULT KANGOO VAN E-TECH ELECTRIC;UTE CHIVA(AV/EG);1319;Furgoneta/Furgón;2024-12-20;DOCUMENTO;6794LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2024-11-19;DOCUMENTO;-31;1365;ACREDITADA;OK (UTE CHIVA(AV/EG));OK 1365d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2024-11-19 en 2024-09-20..2025-06-20);OK (2024-12-20 > 2023-01-25);C_CONDICIONADO;SI;SI;baja por siniestro: acreditar con baja definitiva DGT, no con venta
5566KSD;RENAULT ZOE 40;G.O.MEDIOAMBIENTE S.L.;1004;Turismo;2023-12-22;DOCUMENTO;6994KGK;PEUGEOT 208 1.2 82 CV;GASOLINA;ALQUILER_CORTA_DURACION;AYVENS;2023-12-01;DOCUMENTO;-21;815;ACREDITADA;OK (G.O.MEDIOAMBIENTE S.L.);OK 815d >= 730d (REGIMEN_A_VERIFICAR);OK (ELECTRICO <- GASOLINA);OK (Turismo);OK (2023-12-01 en 2023-09-22..2024-06-22);OK (2023-12-22 > 2023-01-25);C_CONDICIONADO;SI;SI;"REGIMEN_A_VERIFICAR: el Excel etiqueta el contrato como 'ALQUILER_CORTA_DURACION' con AYVENS. Se admite porque el propio contrato cubre 815d, por encima de los 730d exigidos: lo que decide es el periodo de posesion, no como se llame el contrato. El contrato aportado (LEASEPLAN SERVICIOS S.A., hoy AYVENS, nº 406863, inicio 13/09/2021) es de 'un mes prorrogable', asi que la posesion continuada NO queda probada por el contrato solo: pedir las facturas mensuales o un certificado del arrendador que acredite el alquiler ininterrumpido de 13/09/2021 a 01/12/2023. Ese contrato ademas se aporto en .doc: pedirlo en PDF, NO volver a pedir el documento. La fecha de alta del Excel contradice a la factura: decidir cual vale. Revision manual 2026-08-10"
6007MWV;CITROEN Ë-C3 ELÉCTRICO MAX;AVSA;1001;Turismo;2024-11-26;DOCUMENTO;7017KWW;OPEL ASTRA 1.6 CDTI 110 CV;DIESEL;RENTING;AYVENS;2025-01-24;DOCUMENTO;59;2076;ACREDITADA;OK (AVSA);OK 2076d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-01-24 en 2024-08-26..2025-05-26);OK (2024-11-26 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6015MWV;CITROEN Ë-C3 ELÉCTRICO MAX;AVSA;1001;Turismo;2024-11-26;DOCUMENTO;7962LKX;VOLVO XC60 2.0 T6 AWD 340 CV;HÍBRIDO;RENTING;ARVAL SERV;2024-12-20;DOCUMENTO;24;1498;ACREDITADA;OK (AVSA);OK 1498d >= 730d;OK (ELECTRICO <- HÍBRIDO);OK (Turismo);OK (2024-12-20 en 2024-08-26..2025-05-26);OK (2024-11-26 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6029MWV;CITROEN Ë-C3 ELÉCTRICO MAX;AVSA;1001;Turismo;2024-11-26;DOCUMENTO;5255LKX;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2025-01-20;DOCUMENTO;55;1462;ACREDITADA;OK (AVSA);OK 1462d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-01-20 en 2024-08-26..2025-05-26);OK (2024-11-26 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6033MWV;CITROEN Ë-C3 ELÉCTRICO MAX;CANALIZ. CIVILES S.A.;1066;Turismo;2024-11-26;DOCUMENTO;5243LKX;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2025-01-13;DOCUMENTO;48;1504;ACREDITADA;OK (CANALIZ. CIVILES S.A.);OK 1504d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-01-13 en 2024-08-26..2025-05-26);OK (2024-11-26 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6037MWV;CITROEN Ë-C3 ELÉCTRICO MAX;CANALIZ. CIVILES S.A.;1066;Turismo;2024-11-29;DOCUMENTO;5996LKM;SEAT LEON 1.6 TDI 115 CV;DIESEL;RENTING;AYVENS;2025-05-22;DOCUMENTO;174;1659;ACREDITADA;OK (CANALIZ. CIVILES S.A.);OK 1659d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-05-22 en 2024-08-29..2025-05-29);OK (2024-11-29 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6042MWV;CITROEN Ë-C3 ELÉCTRICO MAX;AVSA;1001;Turismo;2024-11-26;DOCUMENTO;0269LLK;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2025-01-23;DOCUMENTO;58;1501;ACREDITADA;OK (AVSA);OK 1501d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-01-23 en 2024-08-26..2025-05-26);OK (2024-11-26 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6082MWV;CITROEN Ë-C3 ELÉCTRICO MAX;E.Mixta Metropolitana, SA;1203;Turismo;2024-11-25;DOCUMENTO;5493LLD;VOLKSWAGEN CADDY 4*4 2.0 TDI 122 CV KOMBI;DIESEL;RENTING;AYVENS;2024-12-11;DOCUMENTO;16;1461;ACREDITADA;OK (E.Mixta Metropolitana, SA);OK 1461d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2024-12-11 en 2024-08-25..2025-05-25);OK (2024-11-25 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6083MWV;CITROEN Ë-C3 ELÉCTRICO MAX;AVSA;1001;Turismo;2024-11-28;DOCUMENTO;5829LLX;SEAT ARONA 1.0 TSI 115 CV;GASOLINA;RENTING;AYVENS;2025-01-14;DOCUMENTO;47;1456;ACREDITADA;OK (AVSA);OK 1456d >= 730d;OK (ELECTRICO <- GASOLINA);OK (Turismo);OK (2025-01-14 en 2024-08-28..2025-05-28);OK (2024-11-28 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
